169.0, 25.0
360.0, 25.0
75.0, 72.0
120.0, 70.0
168.0, 71.0
214.0, 71.0
310.0, 72.0
358.0, 71.0
408.0, 72.0
30.0, 119.0
75.0, 119.0
122.0, 119.0
167.0, 118.0
215.0, 117.0
263.0, 117.0
311.0, 118.0
359.0, 119.0
409.0, 120.0
30.0, 166.0
75.0, 166.0
121.0, 165.0
264.0, 156.0
311.0, 166.0
361.0, 167.0
410.0, 168.0
447.0, 170.0
26.0, 210.0
118.0, 211.0
167.0, 211.0
215.0, 211.0
263.0, 212.0
310.0, 213.0
360.0, 214.0
409.0, 214.0
26.0, 260.0
72.0, 260.0
119.0, 260.0
166.0, 259.0
214.0, 259.0
262.0, 260.0
310.0, 260.0
359.0, 261.0
408.0, 261.0
447.0, 265.0
27.0, 308.0
71.0, 308.0
119.0, 308.0
167.0, 307.0
214.0, 307.0
261.0, 307.0
310.0, 308.0
359.0, 309.0
408.0, 308.0
27.0, 355.0
72.0, 355.0
120.0, 355.0
168.0, 354.0
215.0, 354.0
262.0, 355.0
310.0, 355.0
359.0, 355.0
409.0, 355.0
446.0, 357.0
28.0, 403.0
73.0, 403.0
119.0, 402.0
168.0, 402.0
215.0, 401.0
262.0, 401.0
310.0, 402.0
359.0, 402.0
408.0, 401.0
446.0, 397.0
73.0, 449.0
120.0, 448.0
167.0, 447.0
215.0, 448.0
261.0, 447.0
310.0, 448.0
359.0, 447.0
407.0, 447.0
120.0, 494.0
168.0, 495.0
215.0, 494.0
262.0, 494.0
310.0, 494.0
358.0, 494.0
