261.5, 20.5
333.5, 22.5
380.5, 19.5
401.5, 18.5
590.5, 12.5
615.5, 12.5
639.5, 12.5
353.5, 40.5
377.5, 39.5
400.5, 40.5
109.5, 67.5
155.5, 65.5
230.5, 65.5
256.5, 65.5
280.5, 65.5
304.5, 65.5
328.5, 65.5
354.5, 65.5
378.5, 64.5
402.5, 65.5
427.5, 64.5
451.5, 64.5
476.5, 63.5
523.5, 64.5
547.5, 64.5
571.5, 65.5
83.5, 87.5
108.5, 90.5
132.5, 91.5
257.5, 89.5
281.5, 89.5
305.5, 89.5
329.5, 89.5
354.5, 90.5
404.5, 88.5
427.5, 88.5
476.5, 88.5
501.5, 88.5
524.5, 87.5
571.5, 87.5
639.5, 84.5
84.5, 112.5
108.5, 112.5
132.5, 112.5
155.5, 114.5
257.5, 113.5
281.5, 113.5
306.5, 113.5
330.5, 113.5
355.5, 113.5
379.5, 113.5
403.5, 112.5
428.5, 112.5
453.5, 111.5
476.5, 111.5
523.5, 111.5
547.5, 113.5
572.5, 113.5
595.5, 113.5
639.5, 105.5
35.5, 137.5
60.5, 135.5
84.5, 135.5
109.5, 135.5
133.5, 136.5
208.5, 137.5
233.5, 137.5
256.5, 138.5
281.5, 135.5
306.5, 136.5
330.5, 137.5
355.5, 135.5
380.5, 136.5
403.5, 135.5
428.5, 135.5
453.5, 134.5
478.5, 135.5
525.5, 134.5
548.5, 136.5
573.5, 137.5
595.5, 135.5
61.5, 158.5
110.5, 159.5
157.5, 161.5
181.5, 162.5
207.5, 162.5
233.5, 161.5
259.5, 161.5
282.5, 161.5
307.5, 161.5
330.5, 162.5
355.5, 161.5
381.5, 161.5
404.5, 160.5
428.5, 159.5
453.5, 159.5
478.5, 160.5
501.5, 160.5
525.5, 160.5
548.5, 161.5
572.5, 161.5
596.5, 161.5
35.5, 183.5
61.5, 182.5
85.5, 183.5
109.5, 183.5
158.5, 184.5
182.5, 184.5
208.5, 184.5
259.5, 185.5
283.5, 184.5
307.5, 184.5
331.5, 185.5
357.5, 185.5
382.5, 185.5
405.5, 185.5
430.5, 183.5
454.5, 183.5
479.5, 183.5
526.5, 182.5
549.5, 184.5
573.5, 184.5
596.5, 185.5
62.5, 207.5
85.5, 208.5
109.5, 208.5
135.5, 208.5
158.5, 209.5
209.5, 209.5
234.5, 209.5
259.5, 208.5
282.5, 207.5
307.5, 207.5
332.5, 209.5
358.5, 209.5
382.5, 209.5
405.5, 208.5
431.5, 208.5
454.5, 207.5
480.5, 207.5
527.5, 206.5
550.5, 209.5
574.5, 209.5
61.5, 231.5
85.5, 230.5
109.5, 232.5
134.5, 232.5
159.5, 232.5
183.5, 233.5
209.5, 232.5
233.5, 232.5
259.5, 232.5
283.5, 231.5
309.5, 232.5
332.5, 232.5
358.5, 232.5
382.5, 232.5
406.5, 232.5
431.5, 232.5
455.5, 231.5
528.5, 231.5
551.5, 233.5
575.5, 233.5
598.5, 232.5
639.5, 226.5
13.5, 258.5
35.5, 257.5
61.5, 255.5
85.5, 256.5
110.5, 256.5
134.5, 257.5
158.5, 257.5
183.5, 257.5
233.5, 257.5
259.5, 256.5
284.5, 255.5
309.5, 256.5
331.5, 258.5
356.5, 257.5
382.5, 256.5
405.5, 256.5
430.5, 255.5
454.5, 255.5
574.5, 257.5
597.5, 258.5
689.5, 247.5
12.5, 281.5
35.5, 280.5
84.5, 279.5
110.5, 279.5
133.5, 280.5
183.5, 280.5
207.5, 280.5
233.5, 279.5
258.5, 280.5
282.5, 279.5
307.5, 280.5
331.5, 281.5
355.5, 281.5
381.5, 280.5
405.5, 279.5
430.5, 279.5
454.5, 278.5
526.5, 279.5
574.5, 282.5
689.5, 271.5
12.5, 306.5
35.5, 304.5
61.5, 304.5
157.5, 306.5
208.5, 306.5
233.5, 304.5
258.5, 304.5
282.5, 304.5
308.5, 304.5
331.5, 304.5
356.5, 305.5
380.5, 305.5
404.5, 305.5
548.5, 305.5
573.5, 307.5
597.5, 307.5
12.5, 329.5
35.5, 329.5
61.5, 327.5
85.5, 327.5
108.5, 327.5
134.5, 328.5
158.5, 331.5
182.5, 330.5
208.5, 329.5
231.5, 329.5
258.5, 328.5
282.5, 329.5
307.5, 328.5
333.5, 329.5
453.5, 328.5
526.5, 329.5
549.5, 330.5
574.5, 332.5
597.5, 331.5
208.5, 355.5
231.5, 354.5
282.5, 354.5
331.5, 355.5
356.5, 354.5
380.5, 354.5
404.5, 354.5
453.5, 353.5
501.5, 354.5
526.5, 354.5
597.5, 355.5
12.5, 382.5
330.5, 380.5
380.5, 380.5
404.5, 380.5
429.5, 379.5
453.5, 379.5
526.5, 381.5
548.5, 383.5
232.5, 405.5
258.5, 404.5
356.5, 404.5
429.5, 404.5
526.5, 404.5
548.5, 407.5
573.5, 407.5
596.5, 407.5
109.5, 428.5
208.5, 429.5
330.5, 429.5
355.5, 430.5
381.5, 429.5
404.5, 428.5
477.5, 429.5
548.5, 431.5
573.5, 432.5
596.5, 432.5
83.5, 451.5
108.5, 452.5
207.5, 453.5
231.5, 453.5
257.5, 453.5
355.5, 452.5
379.5, 453.5
404.5, 453.5
573.5, 455.5
596.5, 456.5
34.5, 478.5
60.5, 476.5
84.5, 476.5
108.5, 478.5
132.5, 477.5
159.5, 478.5
182.5, 479.5
232.5, 478.5
257.5, 478.5
282.5, 477.5
306.5, 477.5
330.5, 478.5
355.5, 478.5
380.5, 477.5
403.5, 477.5
428.5, 477.5
453.5, 478.5
477.5, 478.5
525.5, 478.5
549.5, 480.5
35.5, 502.5
60.5, 503.5
84.5, 502.5
109.5, 502.5
133.5, 503.5
158.5, 503.5
257.5, 503.5
282.5, 503.5
306.5, 503.5
330.5, 503.5
356.5, 503.5
380.5, 503.5
403.5, 503.5
429.5, 503.5
454.5, 503.5
501.5, 504.5
526.5, 504.5
109.5, 528.5
283.5, 528.5
380.5, 529.5
405.5, 529.5
664.5, 566.5
689.5, 566.5
615.5, 590.5
639.5, 590.5
664.5, 590.5
689.5, 590.5
271.5, 615.5
541.5, 615.5
590.5, 615.5
615.5, 615.5
639.5, 615.5
664.5, 615.5
689.5, 615.5
124.5, 639.5
149.5, 639.5
173.5, 639.5
198.5, 639.5
222.5, 639.5
247.5, 639.5
271.5, 639.5
296.5, 639.5
320.5, 639.5
345.5, 639.5
370.5, 639.5
394.5, 639.5
443.5, 639.5
541.5, 639.5
590.5, 639.5
615.5, 639.5
639.5, 639.5
664.5, 639.5
26.5, 664.5
75.5, 664.5
100.5, 664.5
124.5, 664.5
149.5, 664.5
173.5, 664.5
198.5, 664.5
222.5, 664.5
247.5, 664.5
271.5, 664.5
345.5, 664.5
370.5, 664.5
394.5, 664.5
419.5, 664.5
443.5, 664.5
468.5, 664.5
517.5, 664.5
541.5, 664.5
590.5, 664.5
615.5, 664.5
639.5, 664.5
51.5, 689.5
75.5, 689.5
100.5, 689.5
124.5, 689.5
149.5, 689.5
247.5, 689.5
271.5, 689.5
443.5, 689.5
590.5, 689.5
615.5, 689.5
